activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
21452,113116789,113116789,,2022.0,,,,,,,,,,,,,,,,,"This is a book-length project. 
I received:
1) the Idaho Humanities Council Research Fellowship, which supports a 1 course release in SP14 to draft 2 chapters of this book, present two public talks.
2) the COAS-AHI Partner Grant to continue researching, writing, and revising the book for 2014-15. The COAS-AHI grant gives a 1 course release in SP15.
Role:  Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,The Nonhuman Empire (British India 1857-1947),,,,,,,,,Book,,,,,,[],"[{""id"": 21452, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Basu Thakur, G.']"
21514,111110006,111110006,,2017.0,,,,,,,,,,,,,,,,,"Translation of a novel ""Cartas de amor de un sexagenario voluptuoso"" by Spanish author Miguel Delibes (1920-2010) from Spanish to English, ""Love Letters from a Volptuous Sexagenarian,"" with a scholarly introduction.
Role:  Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Juan de la Cuesta Hispanic Monographs,"Newark, Delaware, United States",,,Love Letters from a Voluptuous Sexagenarian,,,,,,,,,Book,,,,,,[],"[{""id"": 21514, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21514, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 4, ""completionorder"": 4}]","['Boucher, T. C.']"
21599,113121174,113121174,,2023.0,,,,,,,,,,,,,,,,,Role:  Principal,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,"""Metaffective Fiction: Structures of Feeling in Contemporary American Literature""",,,,,,,,,Book,,,,,,[],"[{""id"": 21599, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21599, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2021, ""termid"": ""2020/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Clare, R.']"
21679,112052788,112052788,,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,The Concierge in French Film and Literature,,,,,,,,,Book,,,,,,"[{""attachmentid"": 5615, ""mimetype"": ""custom/url"", ""filename"": ""http://newprairiepress.org/cgi/viewcontent.cgi?article=1940&amp;context=sttcl"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeWpuRllEYTF1bVgzaVF2NEwwT3dnSDQ2dTRjNFd4NGdxRUVpbnZpbU81WGpqSElEdVRzbk93TU56SzQ4YUNCSW93ZnFMalE3QmIvcTJUNGREUkt6RGFHSVNzWEphVW8xV2U4NXEzLzBrNjlPRXA2ckI4a2NCMm9qejVxVTBBTVR3eUc1eU5YM3MyeCtuOHR0NFVoOS9pQjYxNDluWUl1akJhN1U2MHROK0hGYz0%3D"", ""filesize"": 394486}]","[{""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 1, ""completionorder"": 1}]","['Devereux Herbeck, M. E.']"
22041,111669995,111669995,,2018.0,,,,,,,,,,,,,,,,,"Book accepted for publication by Palgrave MacMillan in 2017. Revisions completed and accepted as of November 2017. Book is currently at the printers with scheduled delivery of page proofs the first week of February 2018. 

The Catholic Church in the 21st century wrestles with expanding opportunities for laypeople to participate in ministry, sacrament, and leadership of the Church, particularly over whether women should be ordained to the priesthood and whether laypeople should be given greater roles in liturgy. Some Catholics welcome such possibilities. Others fear that changes in traditional practices will weaken the foundations of the Church, the family, and society. 

The Catholic Church faced a similar challenge after English King Henry VIII’s break with Rome in 1534. For almost 300 years, Catholicism was illegal throughout the British Isles. In the absence of churches, priests, and sacraments, Catholics broadened gender and religious roles to meet their spiritual needs within an underground faith. The intervening three centuries allegedly fostered a world of bad Catholics with divided loyalties between church, state, society, and the family: scandalous “galloping nuns,” “Apostolic Viragoes,” and “false” and “traitorous” Catholic “rogues.” 

This book explores how Catholics experimented with new understandings of women’s and men’s roles in family life, ritual, religious leadership, and vocation in their quest to be both good Catholics and good subjects. Engaging personal narratives, letters, trial records, and other stories reveal how far ordinary Catholics would go to get their needs met and how far the Catholic Church would bend its rules on gender and laypeoples' roles in the Church to sustain beleaguered Catholics in a Protestant land. In the many generations that passed between Henry VIII’s break with the Roman Catholic Church and Catholic emancipation in the British Isles in 1829, Catholics had time to set limits, loosen them, and face the consequences. The lessons learned inform our contemporary discussion not only about women’s and men’s natural and God-given roles but also about divine power and authority itself.

I am attaching the Introduction because all the chapters would be a bit much to attach here. I am happy to show my chair the entirety should he wish evidence of the manuscript's completion.",,,,,,,978-3-319-73086-8,,,,,,,,,,,,,,,,,,Other,,,,,,,,Palgrave MacMillan,"London/New York, NY",,,"Divided Loyalties? Pushing the Boundaries of Gender and Lay Roles in the Catholic Church, 1534-1829",,,,,,,,,Book,,,,,,"[{""attachmentid"": 2279, ""mimetype"": ""application/vnd.openxmlformats-officedocument.wordprocessingml.document"", ""filename"": ""Intro 7.docx"", ""downloadurl"": ""https://faculty180.interfolio.com/public/download.php?key=SDRwNCtxSUpsamxBQ213WS9ucHFuOXdEckhSTndUMEU1ZEl3S1FYNlk1UTRFRytxRHVPV3RGeEM1UlkwREhVeXo2REJlMGYvK25wdVd6MkhxcU1HRjR2UmxqSkg5Ky9OWXFaQVlFY1diMU00UzJVVWpnbU93QT09"", ""filesize"": 149043}]","[{""id"": 22041, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22041, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22041, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}]","['McClain, L.']"
22142,111643336,111643336,,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,"Bret Harte's Extravagance: Realism, Character, and the Aesthetics of Consent - Book on hold 2020 due to COVID change in sabbatical",,,,,,,,,Book,,,,,,[],"[{""id"": 22142, ""status"": ""Work Discontinued"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 7, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2020, ""termid"": ""2019/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Penry, T. C.']"
22145,112180039,112180039,,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Springer,Switzerland,,,The Flipped College Classroom: Conceptualized and Re-Conceptualized,,,,,,,,,Book,,,,,,[],"[{""id"": 22145, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Green, L. S.', 'Banas, J.', 'Perkins, R. A.']"
22170,111264183,111264183,,2017.0,,,,,,,,,,,,,,,,,,,1st edition,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Lexington Books,"Lexington, KY",,,"Medical Imagery and Fragmentation: Modernism, Scientific Discourse, and the Mexican/Indigenous Body, 1870–1940s",,,,,,,,,Book,,,,,,[],"[{""id"": 22170, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Ramirez, D. A.']"
22383,113144224,113144224,,2018.0,,,,,,,,,,,,,,,,,"Co-writing with Michelle K. Berry and under contract with Duke University Press. 
Role:  Co-Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Duke University Press ,,,,A Primer for Teaching Environmental History,,,,,,,,,Book,,,,,,[],"[{""id"": 22383, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22383, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22383, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 3, ""completionorder"": 3}, {""id"": 22383, ""status"": ""Submitted"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22383, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Berry, M. K.']"
22385,113144224,113144224,,2021.0,,,,,,,,,,,,,,,,,Role:  Principal,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Oxford University Press ,,,,Fragile and Stable: The Century-long Process of Protecting Nature in Patagonia and Amazonia,,,,,,,,,Book,,,,,,[],"[{""id"": 22385, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2021, ""termid"": ""2021/02"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2021, ""termid"": ""2020/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Wakild, E.']"
