activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
21517,111727002,111727002,,2019.0,,ed. Aaron Sheehan-Dean,,,Cambridge History of the American Civil War,"""Environment and War""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,249-267,,,,,Cambridge University Press,New York,,,,,,,,,,,,Chapter,,,II,,,[],"[{""id"": 21517, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21517, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21517, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 21517, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]","['Brady, L. M.']"
21518,111727002,111727002,,2018.0,,Joan Cashin,,,War Matters: Essays on the Material Culture of the American Civil War,"""Nature as Material Culture: Antietam National Battlefield""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of North Carolina Press,"Chapel Hill, NC",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21518, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21518, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21518, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}]","['Brady, L. M.', 'Silver, T.']"
21836,111114394,111114394,,2018.0,,Dawn Keetley and Matthew Wynn Sivils,,,Ecogothic in Nineteenth-Century American Literature,"""Perverse Nature"": Anxieties of Animality and Environment in Charles Brockden Brown’s Edgar Huntly",,,,,,,,,,,"Charles Brockden Brown’s 1799 Edgar Huntly famously aims “to exhibit a series of adventures, growing out of the condition of our country,” noting that the “incidents of Indian hostility, and the perils of the western wilderness” are the most appropriate materials for American readers (Brown 3). Scholarship has long focused on the novel’s “wilderness” setting, but only recently have scholars begun to approach Edgar Huntly from an explicitly ecocritical perspective. This essay builds on existing scholarship to address Brown’s novel through the dual lenses of ecocriticism and Gothic studies, examining its representations of place, landscape, and psychology, emphasizing its engagement with anxieties about humanity and animality. 
Until now, the term “ecogothic” has been insufficiently defined; this essay approaches this term understanding the Gothic as a mode (building on the work of Jerrold Hogle and Teresa Goddu) to show how Gothic moments in texts can be read ecocritically. The explicitly Gothic moments in Edgar Huntly depict cultural anxieties not just about “wilderness,” but also about the slippery divide between humanity and animality. Amid all the threats that Huntly encounters, none are more unsettling than realizing that the boundaries between the human and more-than-human world are penetrable and unstable—and may be entirely social constructions. Textually, the novel blurs boundaries between the Delaware Indians, “savage” panthers, and the sleepwalking Clithero Edny, and eventually Huntly finds himself part of this elision of categories—where “human” and “animal” collapse. In Huntly’s transformation, we see playing out Stacy Alaimo’s new materialist concept that “the human is always intermeshed with the more-than-human world,” and that “the substance of the human is ultimately inseparable from ‘the environment’” (2). This reading of Edgar Huntly, finally, shows how the idea of the body as nature, as environment, is a specter that haunts the otherwise rational, enlightened late-eighteenth-century subject.
Role:  Principal",9781138206458,,,,,,,,,,,,,,,,,,,,,,,,Other,,,21-35,,,,,Routledge,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21836, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21836, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 4, ""completionorder"": 4}]","['Hillard, T. J.']"
21948,112110324,112110324,,2018.0,,,,,,Petrology and geochronology of metamorphic zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,American Geophysical Union,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21948, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21948, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Kohn, M. J.', 'Kelly, N.']"
21949,112110324,112110324,,2017.0,,,,,Petrochronology: Methods and Applications,Titanite petrochronology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Mineralogical Society of America,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 21949, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21949, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Kohn, M. J.']"
22119,111643332,111643332,,2016.0,,George Anderson,,,Novelists on the American Civil War,Stephen Crane,,,,,,,,,,,"This is a 5,500-word essay on Stephen Crane for the Dictionary of Literary Biography's volume on Civil War Novelists.
",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,103-112,,,,,Gale Research,"Farmington Hills, MI",,,,,,,,,,,,Chapter,,,378,,,[],"[{""id"": 22119, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Olsen-Smith, S. S.']"
22141,113024765,113024765,,2024.0,,Brian Winkenweder and Tijen Tunali,,,,"""Of Rocks and Hard Places: Photography and Art Criticism at the Dawn of the 'Reagan Era'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge Press,London,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22141, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22141, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2015, ""termid"": ""2015/01"", ""listingorder"": 1, ""completionorder"": 1}]","['Peariso, C.']"
22245,111203681,111203681,,2017.0,,,,,,Outreach and Marketing Using Twitter ,,,,,,,,,,,"Book chapter for Marketing Libraries with Technology: A How To Do It Guide (A LITA Guide).
Role:  Co-Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,ALA TechSource,,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22245, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22245, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}]","['Silva, J. G. C.', 'Moore, C.', 'Vecchione, A. E.']"
22275,114001406,114001406,,2017.0,,Alessandro Bonanno and Steven Wolf,,,Critiques of Resistance to the Neoliberal Food Regime,Resistance to global agrifood and its limitations: Considering the gendered labor of food provisioning,,,,,,,,,,,"This paper will be presented at the International Rural Sociological Association annual meeting as a part of a mini-conference focused on considering resistance to agrifood, and its impediments.  Papers presented at the mini-conference will be considered for inclusion in an edited volume to be published in 2017 and in a special issue of the International Journal of Sociology of Agriculture and Food.
Role:  Principal",,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Routledge,London,,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22275, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 2, ""completionorder"": 2}]","['Som Castellano, R. L.']"
22437,111110214,111110214,,2015.0,,,,,,"Witt, Stephanie L. and Brian Laurent, “Go Away Closer The Collision of Culture and Governance in the Great Basin” in Judd and Witt, Cities, Sagebrush and Solitude (under review).",,,,,,,,,,,"The Great Basin covers vast territories of land, but all of it is part of one county or another.  County government is the one form of government that touches all parts of the Great Basin territory.  Based upon a centuries old model of independently elected citizen officials, county governments in the Great Basin face multiple challenges in providing services across such great expanses.  Rural counties such as those in the Great Basin are in large part dependent upon federal paybacks and Payments in Lieu of Taxes (PILTs), yet the region has a strong tradition of resistance to big government.  The chapter describes the limitations of financial dependence upon federal land management agency payments, property tax limits imposed by citizens and legislatures and the lack of capacity to meet these challenges among Great Basin county governments.
Role:  Principal",,1,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,University of Nevada Press,"Reno, NV, USA",,,,,,,,,,,,Chapter,,,,,,[],"[{""id"": 22437, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Laurent, B.']"
