activityid,facultyid,userid,fields__activity_type,fields__actual_projected_year_of_publication_presentation,fields__author,fields__author_editor_of_larger_work,fields__author_s,fields__author_s_editor_s,fields__book_title,fields__chapter_title,fields__co_contributor,fields__co_contributor_s,fields__conference_location,fields__conference_meeting_name,fields__contributor,fields__contributor_s,fields__copyright_patent_number_id,fields__date,fields__date_or_date_range,fields__date_published,fields__description_abstract,fields__doi,fields__edition,fields__if_patent_cooperation_treaty_list_nations,fields__if_patent_has_been_assigned_to_whom,fields__if_patent_has_been_licensed_to_whom,fields__inventor_s,fields__isbn,fields__isbn_issn,fields__isbn_issn_asin,fields__isbn_issn_asin_number,fields__issn,fields__issn_isbn,fields__issue,fields__issue_number,fields__issue_number_edition,fields__journal,fields__location_of_publisher_city_state_country,fields__month,fields__month_season,fields__name_of_conference,fields__name_of_performing_group,fields__name_of_venue,fields__name_of_venue_sponsor,fields__organization_if_applicable,fields__origin,fields__outlet_if_applicable,fields__page_number_or_number_of_pages,fields__page_numbers,fields__page_numbers_of_number_of_pages,fields__page_numbers_or_number_of_pages,fields__patent_nationality,fields__presenter_s,fields__publisher,fields__publisher_location,fields__pubmed_central_id_number,fields__sponsoring_organization,fields__title,fields__title_of_contribution,fields__title_of_contribution_if_applicable,fields__title_of_intellectual_property,fields__title_of_larger_work,fields__title_of_larger_work_if_applicable,fields__title_of_presentation,fields__title_of_review,fields__title_of_work,fields__type,fields__url,fields__venue_sponsor_location_city_state_country,fields__volume,fields__web_address,fields__work_exhibit_title,attachments,status,authors
10153,112095616,112095616,,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-01,44th Annual Meeting of the Decision Science Institute,,,,,Other,,,,,,,,Decision Sciences Institute,"Tampa, FL",,,,Promoting Supplier Performance with Incentives: An Empirical Study,,,,,,,,Proceeding,,,,,,[],"[{""id"": 10153, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2014, ""termid"": ""2014/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Terpend, R.', 'Krause, D. R.']"
10995,111615748,111615748,,2006.0,,,,,,,,,,,,,,,,,"To increase the preparedness for and interest in engineering, as well as math-science
skills in our youth, a new course has been developed with cooperation between the
Colleges of Education and Engineering at Boise State University. This course is
presently titled “Engineering for Educators” and its goal is to reach more K-12 students
for longer periods of time and at earlier ages than most engineering/math/science
outreach activities allow. The pre-service teachers in elementary education are mixed
with engineering students in an existing “Introduction to Engineering” course. The
education students get an extra hour a week with an education professor to discuss
how the engineering projects in the course could be used in the elementary classroom
to meet state teaching standards for math and science as well as reading, writing and
other non-technical subjects.
Combining the educators in with the engineers has three main benefits. First, the
education students work along side the engineering students and get to see what the
engineering entails. Second, the elementary education students learn that they have the
skills and ability to understand and teach engineering activities. Third, by interacting
with the engineering students, the educators can break down some of their stereotypical
views of engineers and they may be more likely to recommend this field to their future
K-8 students when they see a student with the appropriate interests.
Although this reports on the first two semesters that the course was offered, those
involved have seen several improvements in student attitude, both engineering and
education students. However, the most telling improvement is the confidence level of
the education students. They have found that they can play a valuable part in any team
project. Although they may not feel they have the necessary math skills they are able to
organize, analyze and synthesize the ideas. Also, once the math is explained to them
they realize that they do understand the concepts. The education students are also
seeing numerous ways that the course projects could be used in the schools.
Plans are to continue to offer this course in the following semesters with expectations
for higher enrollment including some practicing teachers. This course has also been
accepted as a substitute for the elementary science methods course offered by the
Education College and will be offered as such in the Spring 2006.",,,,,,,,,,,,,,,,,,,2006-12-31,Hawaii International Conference on Education 2006 Proceedings,,,,,Other,,,,,,,,Hawaii Education,Hawaii,,,,Engineering by design: Connecting Engineering and Elementary Education,,,,,,,,Proceeding,,,,,,[],"[{""id"": 10995, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2006, ""termid"": ""2006/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Miller, R.', 'Barney Smith, E. H.']"
10996,111615748,111615748,,2005.0,,,,,,,,,,,,,,,,,,https://peer.asee.org/15491,,,,,,,,,,,,,,,,,,2005-12-31,ASEE 2005 Proceedings,,,,,Other,,,,,,,,ASEE ,,,,,Engineering for Educators,,,,,,,,Proceeding,,,,,,[],"[{""id"": 10996, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Barney Smith, E. H.', 'Miller, R.']"
1135,111110006,111110006,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,Romance Language Annual XI,,,,,Other,,,417-423,,,,,,,,,,Craving Credibility: Teresa de Avila's Shifting Discourse in Meditaciones sobre los Cantares,,,,,,,,Proceeding,,,,http://scholarworks.boisestate.edu/lang_facpubs/9,,[],"[{""id"": 1135, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2000, ""termid"": ""1999/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Boucher, T. C.']"
19529,111640423,111640423,,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-30,Energy Policy Reseach Conference,,,,,Other,,,,,,,,Energy Policy Institute,"Denver, CO",,,,A Polycentric Approach to Climate Change: The EPA's Clean Power Plan,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19529, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Labor, W.']"
19532,111640423,111640423,,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-04,"75th IAES conference, 2013, session K10-1 4416 (Law and Economics)",,,,,Other,,,,,,,,International Atlantic Economic Society,"Vienna, Austria",,,,A decision framework for deployment of small modular reactors in developing economies,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19532, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]","['Taylor Black, M.', 'Black, G.']"
19535,111640423,111640423,,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-08-31,19th International conference on Information Systems Development,,,,,Other,,,,,,,,,"Prague, Czech Republic",,,,On the Broader View of the Open Source Paradigm: The Case for Agricultural Biotechnology,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19535, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2010, ""termid"": ""2010/01"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Taylor Black, M.', 'Wojtkowski, W.']"
19539,111640423,111640423,,2005.0,,,,,,,,,,,,,,,,,"Traditional input-output analysis captures the direct and indirect impacts stemming from firms' expenditures on items such as wages, salaries, and purchases. I-O models can be modified to include the effects of such expenditures as retirement benefits, tax payments, and charitable contributions. However, even such extended input-output analyses do not provide complete measures of the economic impact of a new firm or research facility's location choice. Additional economic impacts arise when facilities generate additional external economies generated by a new firm or economic facility. These agglomeration effects are essentially overlooked in standard I-O analyses. These agglomeration effects are likely to differ depending on the urban or rural nature of the region in which a facility locates. Urban firm location is more likely to generate localization economies such as those stemming from knowledge spillovers, labor pool effects, and scale economies of input providers. In rural areas, these localization economies are likely to be small. However, location of new firms in rural areas can result in substantial increases in population and income which can then give rise to agglomeration effects as new firms are attracted to the new economic node.  As shown by Black, Church and Holley (2004), these agglomeration economies can be large. This paper extends examines whether the agglomeration effects of new capital investment are larger in rural areas than in urban areas. Using BEA data and an economic forecasting model in Northwestern U.S., we expect to show that rural areas gain more on net as a consequence of new capital injections into the local economy.",,,,,,,,,,,,,,,,,,,2005-11-30,North American Regional Science Conference,,,,,Other,,,,,,,,North American Regional Science Association,"Las Vegas, NV",,,,Agglomeration Effects of New Investment on Local Economies: Do Rural Areas Stand to Gain More?,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19539, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Islam, S.']"
19540,111640423,111640423,,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-30,Systems Science European Conference,,,,,Other,,,,,,,,,"Paris, France",,,,Structuring Collective Behavior in a Global Information System,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19540, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Unold, J.', 'Wojtkowski, W.', 'Black, G.', 'Wojtkowski, G.']"
19542,111640423,111640423,,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-09-30,International Conference on Information Systems Development,,,,,Other,,,,,,,,,"Vilnius, Lithuania",,,,Issues in Information Systems Education,,,,,,,,Proceeding,,,,,,[],"[{""id"": 19542, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2004, ""termid"": ""2004/02"", ""listingorder"": 6, ""completionorder"": 6}]","['Black, G.', 'Wojtkowski, W.', 'Wojtkowski, G.', 'Lane, C.']"
