source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,1076,111110410,111110410,Is Spotlighting Enough? Environmental NGOs and the Commission for Environmental Cooperation,2006.0,,,,,Jan-46,,"['Alm, L. R.', 'Burkhart, R. E.']",http://scholarworks.boisestate.edu/polsci_facpubs/24,"[{""id"": 1076, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2006, ""termid"": ""2006/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1077,111110410,111110410,Scientists and Environmental Policy: A Canadian-US Perspective,1999.0,,,,,Jan-39,,"['Alm, L. R.']",http://scholarworks.boisestate.edu/pubadmin_facpubs/28,"[{""id"": 1077, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 1999, ""termid"": ""1998/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1093,111110347,111110347,When Nostalgia is the Scent We Follow,2011.0,,,,10.1353/rvt.2011.0005,21-Sep,,"['Ballenger, B.']",http://scholarworks.boisestate.edu/english_facpubs/15,"[{""id"": 1093, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2011, ""termid"": ""2010/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1094,111110347,111110347,Our Mornings with Murray,2008.0,,,,,40-46,,"['Ballenger, B.']",,"[{""id"": 1094, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2008, ""termid"": ""2008/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1095,111110347,111110347,Our Mornings with Murray,2008.0,,,,,40-46,,"['Ballenger, B.']",http://scholarworks.boisestate.edu/english_facpubs/60,"[{""id"": 1095, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1096,111110347,111110347,"""Stumbling into the Light of New Meanings""",2007.0,UC-Davis,,,,21-22,,"['Ballenger, B.']",,"[{""id"": 1096, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2007, ""termid"": ""2006/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1114,111113451,111113451,Conflicted objectives: The NCLBA vs. a flat world.,2008.0,,,,,57-69,,"['Wickstrom, C.', 'Bieter Jr, J. P.', 'Boothe, D. R.']",,"[{""id"": 1114, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1115,111113451,111113451,Conflicted objectives: The NCLBA vs. a flat world.,2008.0,,,,,57-69,,"['Wickstrom, C.', 'Bieter Jr, J. P.', 'Boothe, D. R.']",,"[{""id"": 1115, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1133,112002659,112002659,Repeat Citizens in Motor Vehicle Stops: A Black Experience,2008.0,,,,10.1300/j222v06n01_04,41-63,,"['Bostaph, L. M.']",http://scholarworks.boisestate.edu/crimjust_facpubs/29,"[{""id"": 1133, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2008, ""termid"": ""2008/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1134,112002659,112002659,Serving crime victims: Agency needs and barriers,2015.0,,,,,nan,,"['King, L.', 'Bostaph, L. M.', 'Gillespie, L.', 'Goodson, A. J.', 'Lopez, J. M.']",,"[{""id"": 1134, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1135,111110006,111110006,Craving Credibility: Teresa de Avila's Shifting Discourse in Meditaciones sobre los Cantares,2000.0,,,,,417-423,,"['Boucher, T. C.']",http://scholarworks.boisestate.edu/lang_facpubs/9,"[{""id"": 1135, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2000, ""termid"": ""1999/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1148,111110070,111110070,Is Spotlighting Enough? Environmental NGOs and the Commission for Environmental Cooperation,2006.0,,,,,Jan-46,,"['Alm, L. R.', 'Burkhart, R. E.']",http://scholarworks.boisestate.edu/polsci_facpubs/24,"[{""id"": 1148, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2006, ""termid"": ""2006/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1149,111110070,111110070,"Democracy, Capitalism, and Income Inequality: Seeking Causal Directions",2007.0,,,,10.1163/156913307x233683,481-507,,"['Burkhart, R. E.']",http://scholarworks.boisestate.edu/polsci_facpubs/31,"[{""id"": 1149, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2007, ""termid"": ""2007/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1150,111110070,111110070,Paying for Long-Term Care in the Gem State: The Federal and State Laws Influencing How Long-Term Care Services for Idaho’s Growing Aged and Disabled Populations Are-and Will Be-Funded,2012.0,,,,,nan,,"['Hyer, A.', 'Hannah, E. L.', 'Toevs, S. E.', 'Burkhart, R. E.']",,"[{""id"": 1150, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1151,111110070,111110070,"""Inequality Data and Explanations of Democracy""",2010.0,International Political Science Association: The Committee on Concepts and Methods,,,,nan,,"['Burkhart, R. E.']",,"[{""id"": 1151, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2010, ""termid"": ""2009/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1152,111110070,111110070,"Open Borders, Open Regimes? Testing Causal Direction between Globalization and Democracy, 1970-2000",2003.0,,,,,23-Jan,,"['Burkhart, R. E.', 'de Soysa, I.']",http://scholarworks.boisestate.edu/polsci_facpubs/25,"[{""id"": 1152, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2003, ""termid"": ""2002/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1156,111201769,111201769,The Strange and Surprising World of Curriculum Reform and Its Consequences for Eighteenth-Century Studies,2011.0,,,,,29-39,,"['Campbell, A. M.']",http://scholarworks.boisestate.edu/english_facpubs/78,"[{""id"": 1156, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2011, ""termid"": ""2011/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1157,111201769,111201769,"The Limits of ""Laudable Action"": Women's Marital Choice in John Shebbeare's The Marriage Act",2007.0,,,,,13-24,,"['Campbell, A. M.']",http://scholarworks.boisestate.edu/english_facpubs/68,"[{""id"": 1157, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2007, ""termid"": ""2006/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1166,111110314,111110314,"Stress, healing, coping and the quest for civility",2013.0,,,,,34-39,,"['Clark, C. M.']",,"[{""id"": 1166, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1167,111110314,111110314,Healing from the Bitter Pill of Incivility,2012.0,,,,,32-34,,"['Clark, C. M.']",http://scholarworks.boisestate.edu/nursing_facpubs/95,"[{""id"": 1167, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2012, ""termid"": ""2011/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1168,111110314,111110314,From incivility to civility: Transforming the culture,2010.0,,,,,nan,,"['Clark, C. M.']",http://www.reflectionsonnursingleadership.com/pages/vol36_3_clark5.aspx,"[{""id"": 1168, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1169,111110314,111110314,What faculty can do to foster civility,2010.0,,,,,nan,,"['Clark, C. M.']",www.reflectionsonnursingleadership.org/Pages/Vol36_2_Clark3.aspx,"[{""id"": 1169, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1170,111110314,111110314,What students can do to foster civility,2010.0,,,,,nan,,"['Clark, C. M.']",www.reflectionsonnursingleadership.org/Pages/Vol36_2_Clark4_Cardoni.aspx,"[{""id"": 1170, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1171,111110314,111110314,Why civility matters. Reflections on Nursing Leadership,2010.0,,,,,nan,,"['Clark, C. M.']",www.reflectionsonnursingleadership.org/Pages/Vol36_1_Clark2_civility.aspx,"[{""id"": 1171, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2010, ""termid"": ""2010/02"", ""listingorder"": 6, ""completionorder"": 6}]"
