source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,21452,113116789,113116789,The Nonhuman Empire (British India 1857-1947),2022,,,,,"This is a book-length project. I received: 1) the Idaho Humanities Council Research Fellowship, which supports a 1 course release in SP14 to draft 2 chapters of this book, present two public talks. 2) the COAS-AHI Partner Grant to continue researching, writing, and revising the book for 2014-15. The COAS-AHI grant gives a 1 course release in SP15. Role: Principal",,[],,"[{""id"": 21452, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,21514,111110006,111110006,Love Letters from a Voluptuous Sexagenarian,2017,Juan de la Cuesta Hispanic Monographs,"Newark, Delaware, United States",,,"Translation of a novel ""Cartas de amor de un sexagenario voluptuoso"" by Spanish author Miguel Delibes (1920-2010) from Spanish to English, ""Love Letters from a Volptuous Sexagenarian,"" with a scholarly introduction. Role: Principal",,[],,"[{""id"": 21514, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21514, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,21599,113121174,113121174,"""Metaffective Fiction: Structures of Feeling in Contemporary American Literature""",2023,,,,,Role: Principal,,[],,"[{""id"": 21599, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21599, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2021, ""termid"": ""2020/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,21679,112052788,112052788,The Concierge in French Film and Literature,2019,,,,,nan,,[],,"[{""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 21679, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,22041,111669995,111669995,"Divided Loyalties? Pushing the Boundaries of Gender and Lay Roles in the Catholic Church, 1534-1829",2018,Palgrave MacMillan,"London/New York, NY",978-3-319-73086-8,,"Book accepted for publication by Palgrave MacMillan in 2017. Revisions completed and accepted as of November 2017. Book is currently at the printers with scheduled delivery of page proofs the first week of February 2018. The Catholic Church in the 21st century wrestles with expanding opportunities for laypeople to participate in ministry, sacrament, and leadership of the Church, particularly over whether women should be ordained to the priesthood and whether laypeople should be given greater roles in liturgy. Some Catholics welcome such possibilities. Others fear that changes in traditional practices will weaken the foundations of the Church, the family, and society. The Catholic Church faced a similar challenge after English King Henry VIII’s break with Rome in 1534. For almost 300 years, Catholicism was illegal throughout the British Isles. In the absence of churches, priests, and sacraments, Catholics broadened gender and religious roles to meet their spiritual needs within an underground faith. The intervening three centuries allegedly fostered a world of bad Catholics with divided loyalties between church, state, society, and the family: scandalous “galloping nuns,” “Apostolic Viragoes,” and “false” and “traitorous” Catholic “rogues.” This book explores how Catholics experimented with new understandings of women’s and men’s roles in family life, ritual, religious leadership, and vocation in their quest to be both good Catholics and good subjects. Engaging personal narratives, letters, trial records, and other stories reveal how far ordinary Catholics would go to get their needs met and how far the Catholic Church would bend its rules on gender and laypeoples' roles in the Church to sustain beleaguered Catholics in a Protestant land. In the many generations that passed between Henry VIII’s break with the Roman Catholic Church and Catholic emancipation in the British Isles in 1829, Catholics had time to set limits, loosen them, and face the consequences. The lessons learned inform our contemporary discussion not only about women’s and men’s natural and God-given roles but also about divine power and authority itself. I am attaching the Introduction because all the chapters would be a bit much to attach here. I am happy to show my chair the entirety should he wish evidence of the manuscript's completion.",,[],,"[{""id"": 22041, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22041, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22041, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,22142,111643336,111643336,"Bret Harte's Extravagance: Realism, Character, and the Aesthetics of Consent - Book on hold 2020 due to COVID change in sabbatical",2023,,,,,nan,,[],,"[{""id"": 22142, ""status"": ""Work Discontinued"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 7, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2020, ""termid"": ""2019/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2019, ""termid"": ""2019/01"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22142, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,22145,112180039,112180039,The Flipped College Classroom: Conceptualized and Re-Conceptualized,2016,Springer,Switzerland,,,nan,,[],,"[{""id"": 22145, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,22170,111264183,111264183,"Medical Imagery and Fragmentation: Modernism, Scientific Discourse, and the Mexican/Indigenous Body, 1870-1940s",2017,Lexington Books,"Lexington, KY",,,nan,,[],,"[{""id"": 22170, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2017, ""termid"": ""2017/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,22383,113144224,113144224,A Primer for Teaching Environmental History,2018,Duke University Press,,,,Co-writing with Michelle K. Berry and under contract with Duke University Press. Role: Co-Principal,,[],,"[{""id"": 22383, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22383, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22383, ""status"": ""Revise &amp; Resubmit"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 3, ""completionorder"": 3}, {""id"": 22383, ""status"": ""Submitted"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22383, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,22385,113144224,113144224,Fragile and Stable: The Century-long Process of Protecting Nature in Patagonia and Amazonia,2021,Oxford University Press,,,,Role: Principal,,[],,"[{""id"": 22385, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2024, ""termid"": ""2023/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2023, ""termid"": ""2023/02"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2023, ""termid"": ""2022/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""Accepted"", ""term"": ""Fall"", ""year"": 2021, ""termid"": ""2021/02"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2021, ""termid"": ""2020/03"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 1, ""completionorder"": 1}, {""id"": 22385, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]"
