source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,21517,111727002,111727002,"""Environment and War""",2019,Cambridge University Press,New York,,,249-267,,[],,"[{""id"": 21517, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2019, ""termid"": ""2019/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21517, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2018, ""termid"": ""2018/01"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21517, ""status"": ""In Press"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 5, ""completionorder"": 5}, {""id"": 21517, ""status"": ""In Progress"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,21518,111727002,111727002,"""Nature as Material Culture: Antietam National Battlefield""",2018,University of North Carolina Press,"Chapel Hill, NC",,,nan,,[],,"[{""id"": 21518, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2018, ""termid"": ""2018/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21518, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}, {""id"": 21518, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,21836,111114394,111114394,"""Perverse Nature"": Anxieties of Animality and Environment in Charles Brockden Brown’s Edgar Huntly",2018,Routledge,,,9781138206458,21-35,,[],,"[{""id"": 21836, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21836, ""status"": ""Accepted"", ""term"": ""Summer"", ""year"": 2016, ""termid"": ""2016/01"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,21948,112110324,112110324,Petrology and geochronology of metamorphic zircon,2018,American Geophysical Union,,,,nan,,[],,"[{""id"": 21948, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21948, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,21949,112110324,112110324,Titanite petrochronology,2017,Mineralogical Society of America,,,,nan,,[],,"[{""id"": 21949, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 21949, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,22119,111643332,111643332,Stephen Crane,2016,Gale Research,"Farmington Hills, MI",,,103-112,,[],,"[{""id"": 22119, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,22141,113024765,113024765,"""Of Rocks and Hard Places: Photography and Art Criticism at the Dawn of the 'Reagan Era'""",2024,Routledge Press,London,,,nan,,[],,"[{""id"": 22141, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2022, ""termid"": ""2021/03"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22141, ""status"": ""In Progress"", ""term"": ""Summer"", ""year"": 2015, ""termid"": ""2015/01"", ""listingorder"": 1, ""completionorder"": 1}]"
FAR,22245,111203681,111203681,Outreach and Marketing Using Twitter,2017,ALA TechSource,,,,Book chapter for Marketing Libraries with Technology: A How To Do It Guide (A LITA Guide). Role: Co-Principal,,[],,"[{""id"": 22245, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2018, ""termid"": ""2017/03"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22245, ""status"": ""Accepted"", ""term"": ""Spring"", ""year"": 2017, ""termid"": ""2016/03"", ""listingorder"": 4, ""completionorder"": 4}]"
FAR,22275,114001406,114001406,Resistance to global agrifood and its limitations: Considering the gendered labor of food provisioning,2017,Routledge,London,,,"This paper will be presented at the International Rural Sociological Association annual meeting as a part of a mini-conference focused on considering resistance to agrifood, and its impediments. Papers presented at the mini-conference will be considered for inclusion in an edited volume to be published in 2017 and in a special issue of the International Journal of Sociology of Agriculture and Food. Role: Principal",,[],,"[{""id"": 22275, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2017, ""termid"": ""2017/02"", ""listingorder"": 6, ""completionorder"": 6}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Fall"", ""year"": 2016, ""termid"": ""2016/02"", ""listingorder"": 2, ""completionorder"": 2}, {""id"": 22275, ""status"": ""Submitted"", ""term"": ""Spring"", ""year"": 2016, ""termid"": ""2015/03"", ""listingorder"": 2, ""completionorder"": 2}]"
FAR,22437,111110214,111110214,"Witt, Stephanie L. and Brian Laurent, “Go Away Closer The Collision of Culture and Governance in the Great Basin” in Judd and Witt, Cities, Sagebrush and Solitude (under review).",2015,University of Nevada Press,"Reno, NV, USA",,,"The Great Basin covers vast territories of land, but all of it is part of one county or another. County government is the one form of government that touches all parts of the Great Basin territory. Based upon a centuries old model of independently elected citizen officials, county governments in the Great Basin face multiple challenges in providing services across such great expanses. Rural counties such as those in the Great Basin are in large part dependent upon federal paybacks and Payments in Lieu of Taxes (PILTs), yet the region has a strong tradition of resistance to big government. The chapter describes the limitations of financial dependence upon federal land management agency payments, property tax limits imposed by citizens and legislatures and the lack of capacity to meet these challenges among Great Basin county governments. Role: Principal",,[],,"[{""id"": 22437, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2015, ""termid"": ""2014/03"", ""listingorder"": 6, ""completionorder"": 6}]"
