source,activityid,facultyid,userid,work_title,year,publisher,publisher_location,isbn_print,doi,pages,page_count,authors,url,status
FAR,10153,112095616,112095616,Promoting Supplier Performance with Incentives: An Empirical Study,2014.0,Decision Sciences Institute,"Tampa, FL",,,nan,,[],,"[{""id"": 10153, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2014, ""termid"": ""2014/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,10995,111615748,111615748,Engineering by design: Connecting Engineering and Elementary Education,2006.0,Hawaii Education,Hawaii,,,"To increase the preparedness for and interest in engineering, as well as math-science skills in our youth, a new course has been developed with cooperation between the Colleges of Education and Engineering at Boise State University. This course is presently titled “Engineering for Educators” and its goal is to reach more K-12 students for longer periods of time and at earlier ages than most engineering/math/science outreach activities allow. The pre-service teachers in elementary education are mixed with engineering students in an existing “Introduction to Engineering” course. The education students get an extra hour a week with an education professor to discuss how the engineering projects in the course could be used in the elementary classroom to meet state teaching standards for math and science as well as reading, writing and other non-technical subjects. Combining the educators in with the engineers has three main benefits. First, the education students work along side the engineering students and get to see what the engineering entails. Second, the elementary education students learn that they have the skills and ability to understand and teach engineering activities. Third, by interacting with the engineering students, the educators can break down some of their stereotypical views of engineers and they may be more likely to recommend this field to their future K-8 students when they see a student with the appropriate interests. Although this reports on the first two semesters that the course was offered, those involved have seen several improvements in student attitude, both engineering and education students. However, the most telling improvement is the confidence level of the education students. They have found that they can play a valuable part in any team project. Although they may not feel they have the necessary math skills they are able to organize, analyze and synthesize the ideas. Also, once the math is explained to them they realize that they do understand the concepts. The education students are also seeing numerous ways that the course projects could be used in the schools. Plans are to continue to offer this course in the following semesters with expectations for higher enrollment including some practicing teachers. This course has also been accepted as a substitute for the elementary science methods course offered by the Education College and will be offered as such in the Spring 2006.",,[],,"[{""id"": 10995, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2006, ""termid"": ""2006/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,10996,111615748,111615748,Engineering for Educators,2005.0,ASEE,,,https://peer.asee.org/15491,nan,,[],,"[{""id"": 10996, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,1135,111110006,111110006,Craving Credibility: Teresa de Avila's Shifting Discourse in Meditaciones sobre los Cantares,2000.0,,,,,417-423,,[],http://scholarworks.boisestate.edu/lang_facpubs/9,"[{""id"": 1135, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2000, ""termid"": ""1999/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19529,111640423,111640423,A Polycentric Approach to Climate Change: The EPA's Clean Power Plan,2015.0,Energy Policy Institute,"Denver, CO",,,nan,,[],,"[{""id"": 19529, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2015, ""termid"": ""2015/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19532,111640423,111640423,A decision framework for deployment of small modular reactors in developing economies,2013.0,International Atlantic Economic Society,"Vienna, Austria",,,nan,,[],,"[{""id"": 19532, ""status"": ""Completed/Published"", ""term"": ""Spring"", ""year"": 2013, ""termid"": ""2012/03"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19535,111640423,111640423,On the Broader View of the Open Source Paradigm: The Case for Agricultural Biotechnology,2010.0,,"Prague, Czech Republic",,,nan,,[],,"[{""id"": 19535, ""status"": ""Completed/Published"", ""term"": ""Summer"", ""year"": 2010, ""termid"": ""2010/01"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19539,111640423,111640423,Agglomeration Effects of New Investment on Local Economies: Do Rural Areas Stand to Gain More?,2005.0,North American Regional Science Association,"Las Vegas, NV",,,"Traditional input-output analysis captures the direct and indirect impacts stemming from firms' expenditures on items such as wages, salaries, and purchases. I-O models can be modified to include the effects of such expenditures as retirement benefits, tax payments, and charitable contributions. However, even such extended input-output analyses do not provide complete measures of the economic impact of a new firm or research facility's location choice. Additional economic impacts arise when facilities generate additional external economies generated by a new firm or economic facility. These agglomeration effects are essentially overlooked in standard I-O analyses. These agglomeration effects are likely to differ depending on the urban or rural nature of the region in which a facility locates. Urban firm location is more likely to generate localization economies such as those stemming from knowledge spillovers, labor pool effects, and scale economies of input providers. In rural areas, these localization economies are likely to be small. However, location of new firms in rural areas can result in substantial increases in population and income which can then give rise to agglomeration effects as new firms are attracted to the new economic node. As shown by Black, Church and Holley (2004), these agglomeration economies can be large. This paper extends examines whether the agglomeration effects of new capital investment are larger in rural areas than in urban areas. Using BEA data and an economic forecasting model in Northwestern U.S., we expect to show that rural areas gain more on net as a consequence of new capital injections into the local economy.",,[],,"[{""id"": 19539, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19540,111640423,111640423,Structuring Collective Behavior in a Global Information System,2005.0,,"Paris, France",,,nan,,[],,"[{""id"": 19540, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2005, ""termid"": ""2005/02"", ""listingorder"": 6, ""completionorder"": 6}]"
FAR,19542,111640423,111640423,Issues in Information Systems Education,2004.0,,"Vilnius, Lithuania",,,nan,,[],,"[{""id"": 19542, ""status"": ""Completed/Published"", ""term"": ""Fall"", ""year"": 2004, ""termid"": ""2004/02"", ""listingorder"": 6, ""completionorder"": 6}]"
