pages,title,journal,doi,year,authors,index,volume,issue,type,filename
nan,,,,2016.0,['pearisoc.'],10019,,,Presentation,10019.json
nan,,,,2013.0,"['hungj.', 'hsuy.', 'ricek.l.']",10043,,,Presentation,10043.json
nan,,,,2016.0,"['roserj.', 'noglec.', 'naylorh.', 'paynem.', 'barnese.l.']",10003,,,Presentation,10003.json
nan,,,,2016.0,['peraltac.'],10022,,,Presentation,10022.json
nan,,,,2015.0,"['ricek.l.', 'hungj.']",10042,,,Presentation,10042.json
nan,,,,2014.0,"['steiners.f.', 'peraltac.', 'cheny.', 'sadikovicb.', 'sadikovicr.']",10021,,,Presentation,10021.json
nan,,,,2016.0,['schneiderj.'],10059,,,Presentation,10059.json
nan,,,,2013.0,"['glackinb.c.', 'rodenhiserr.w.']",10047,,,Presentation,10047.json
nan,,,,2014.0,['scarritta.'],10055,,,Presentation,10055.json
nan,,,,2016.0,['plewm.g.'],10032,,,Presentation,10032.json
nan,,,,2015.0,"['friedhoffj.r.', 'ricek.l.', 'lowess.']",10044,,,Presentation,10044.json
nan,,,,2014.0,"['sheltonb.e.', 'campbellt.', 'longhurstm.', 'olsenj.']",10068,,,Poster Presentation,10068.json
nan,,,,2016.0,['shallatt.a.'],10065,,,Presentation,10065.json
nan,,,,2016.0,"['roserj.', 'noglec.', 'naylorh.', 'paynem.', 'barnese.l.']",10018,,,Presentation,10018.json
nan,,,,2014.0,['penryt.c.'],10020,,,Presentation,10020.json
nan,,,,2016.0,"['delong-hamiltont.', 'buchanv.', 'christensonb.', 'rodenhiserr.w.']",10046,,,Presentation,10046.json
nan,,,,2016.0,['shepherdd.r.'],10074,,,Presentation,10074.json
nan,,,,2015.0,"['talleyj.l.', 'schneiderj.']",10057,,,Presentation,10057.json
nan,,,,2015.0,"['schneiderj.', 'delaneya.', 'lindquiste.']",10056,,,Presentation,10056.json
nan,,,,2016.0,['shepherdd.r.'],10075,,,Presentation,10075.json
nan,,,,2016.0,"['gerritson-mckaner.', 'rodenhiserr.w.', 'panosp.']",10048,,,Presentation,10048.json
nan,,,,2014.0,"['sheltonb.e.', 'campbellt.', 'longhurstm.', 'olsenj.']",10070,,,Poster Presentation,10070.json
nan,,,,2015.0,"['shuckg.e.', 'simpsons.']",10083,,,Presentation,10083.json
nan,,,,2014.0,"['bursztynn.', 'pedersonj.', 'sheltonb.e.']",10071,,,Poster Presentation,10071.json
nan,,,,2015.0,['shepherdd.r.'],10079,,,Presentation,10079.json
nan,,,,2016.0,"['olsone.', 'talleyj.', 'schneiderj.']",10058,,,Presentation,10058.json
nan,,,,2016.0,['shepherdd.r.'],10077,,,Presentation,10077.json
nan,,,,2016.0,['siebertc.'],10086,,,Presentation,10086.json
nan,,,,2015.0,"['estremh.k.', 'shepherdd.r.']",10073,,,Presentation,10073.json
nan,,,,2014.0,"['bursztynn.', 'pedersonj.', 'sheltonb.e.']",10069,,,Poster Presentation,10069.json
nan,,,,2012.0,"['grieserj.', 'gaoy.', 'ransdelll.', 'simonsons.r.']",10091,,,Poster Presentation,10091.json
nan,,,,2012.0,"['kennedyk.', 'gaoy.', 'gundersonc.', 'schaalm.', 'simonsons.r.', 'larsenk.']",10090,,,Poster Presentation,10090.json
nan,,,,2016.0,['shallatt.a.'],10066,,,Presentation,10066.json
nan,,,,2012.0,"['gaoy.', 'gundersonc.', 'schaalm.', 'simonsons.r.', 'larsenk.', 'kennedyk.']",10092,,,Poster Presentation,10092.json
nan,,,,2016.0,"['estremh.k.', 'shepherdd.r.', 'uehlingk.s.']",10072,,,Presentation,10072.json
nan,,,,2013.0,"['shuckg.e.', 'hornerb.']",10084,,,Presentation,10084.json
nan,,,,2016.0,['shepherdd.r.'],10076,,,Presentation,10076.json
nan,,,,2016.0,['vecchionea.e.'],10183,,,Presentation,10183.json
nan,,,,2016.0,"['vecchionea.e.', 'moorec.']",10182,,,Presentation,10182.json
nan,,,,2015.0,['snopkowskik.'],10095,,,Presentation,10095.json
nan,,,,2016.0,['reederh.'],10147,,,Presentation,10147.json
nan,,,,2015.0,['westoverj.w.'],10198,,,Presentation,10198.json
nan,,,,2016.0,['yenors.e.'],10221,,,Presentation,10221.json
nan,,,,2014.0,"['wangs.', 'humphreym.j.', 'pykep.']",10187,,,Presentation,10187.json
nan,,,,2016.0,['wangs.'],10188,,,Presentation,10188.json
nan,,,,2016.0,['yenors.e.'],10223,,,Presentation,10223.json
nan,,,,2014.0,"['kinzelm.', 'wangs.', 'caveyl.o.']",10189,,,Presentation,10189.json
nan,,,,2015.0,['woodsl.s.'],10211,,,Presentation,10211.json
nan,,,,2014.0,"['allenm.', 'flynnm.e.', 'vandusky-allenj.a.']",10313,,,Presentation,10313.json
nan,,,,2016.0,"['wangs.', 'guclerb.', 'kimd.', 'sinclairn.']",10190,,,Presentation,10190.json
nan,,,,2015.0,['westoverj.w.'],10200,,,Presentation,10200.json
nan,,,,2015.0,['wakilde.'],10185,,,Presentation,10185.json
nan,,,,2014.0,['allenm.'],10312,,,Presentation,10312.json
nan,,,,2014.0,['westoverj.w.'],10199,,,Presentation,10199.json
nan,,,,2013.0,"['allenm.', 'digiuseppem.', 'frankr.w.']",10315,,,Presentation,10315.json
nan,,,,2012.0,"['allenm.', 'bells.', 'clayc.']",10316,,,Presentation,10316.json
nan,,,,2016.0,['yenors.e.'],10220,,,Presentation,10220.json
nan,,,,2016.0,['yenors.e.'],10219,,,Presentation,10219.json
nan,,,,2014.0,['westoverj.w.'],10201,,,Presentation,10201.json
nan,,,,2016.0,['yenors.e.'],10222,,,Presentation,10222.json
nan,,,,2016.0,['yenors.e.'],10226,,,Presentation,10226.json
nan,,,,2013.0,"['allenm.', 'mcnultyj.', 'martinl.m.', 'woant.']",10314,,,Presentation,10314.json
nan,,,,2012.0,"['allenm.', 'flynnm.e.', 'vandusky-allenj.']",10318,,,Presentation,10318.json
nan,,,,2011.0,['allenm.'],10320,,,Presentation,10320.json
nan,,,,2012.0,"['allenm.', 'digiuseppem.']",10317,,,Presentation,10317.json
nan,,,,2016.0,['yenors.e.'],10225,,,Presentation,10225.json
nan,,,,2008.0,"['allenm.', 'fordhamb.o.']",10326,,,Presentation,10326.json
nan,,,,2016.0,['yenors.e.'],10224,,,Presentation,10224.json
nan,,,,2014.0,"['allenm.', 'bells.', 'clayk.c.']",10311,,,Presentation,10311.json
nan,,,,2008.0,['allenm.'],10327,,,Presentation,10327.json
nan,,,,2009.0,"['allenm.', 'vandusky-allenj.']",10323,,,Presentation,10323.json
nan,,,,2012.0,"['allenm.', 'mcnultyj.e.', 'martinl.m.', 'woant.']",10319,,,Presentation,10319.json
nan,,,,2009.0,['allenm.'],10324,,,Presentation,10324.json
nan,,,,2012.0,['alml.r.'],10454,,,Presentation,10454.json
nan,,,,2010.0,['allenm.'],10322,,,Presentation,10322.json
nan,,,,2007.0,['allenm.'],10330,,,Presentation,10330.json
nan,,,,2010.0,['allenm.'],10321,,,Presentation,10321.json
nan,,,,2007.0,"['allenm.', 'frankr.w.']",10329,,,Presentation,10329.json
nan,,,,2011.0,['alml.r.'],10455,,,Presentation,10455.json
nan,,,,2008.0,['allenm.'],10328,,,Presentation,10328.json
nan,,,,2011.0,"['masons.g.', 'alml.r.']",10458,,,Presentation,10458.json
nan,,,,2008.0,"['allenm.', 'bells.']",10331,,,Poster Presentation,10331.json
nan,,,,2013.0,"['vosj.', 'zhup.', 'ashleya.g.']",10669,,,Presentation,10669.json
nan,,,,2012.0,['alml.r.'],10456,,,Presentation,10456.json
nan,,,,2011.0,"['alml.r.', 'burkhartr.e.']",10457,,,Presentation,10457.json
nan,,,,2011.0,"['alml.r.', 'burkhartr.e.']",10461,,,Presentation,10461.json
nan,,,,2008.0,"['allenm.', 'reganp.m.']",10325,,,Presentation,10325.json
nan,,,,2014.0,['ashleya.g.'],10665,,,Presentation,10665.json
nan,,,,2011.0,['alml.r.'],10460,,,Presentation,10460.json
nan,,,,2011.0,"['alml.r.', 'burkhartr.e.']",10459,,,Presentation,10459.json
nan,,,,2013.0,['ashleya.g.'],10671,,,Presentation,10671.json
nan,,,,2014.0,['ashleya.g.'],10667,,,Presentation,10667.json
nan,,,,2013.0,['ashleya.g.'],10670,,,Presentation,10670.json
nan,,,,2013.0,"['vosj.', 'ashleya.g.', 'shelbyj.']",10668,,,Presentation,10668.json
nan,,,,2015.0,['ashleya.g.'],10674,,,Presentation,10674.json
nan,,,,2013.0,['ashleya.g.'],10672,,,Presentation,10672.json
nan,,,,2014.0,"['ashleya.g.', 'touchtonm.']",10666,,,Presentation,10666.json
nan,,,,2015.0,"['maksla.', 'crafts.', 'ashleys.', 'millerd.']",10681,,,Presentation,10681.json
nan,,,,2013.0,"['ashleya.g.', 'touchtonm.']",10673,,,Presentation,10673.json
nan,,,,2014.0,['ashleya.g.'],10664,,,Presentation,10664.json
nan,,,,2013.0,['ashleya.g.'],10677,,,Presentation,10677.json
nan,,,,2015.0,['ashleys.'],10679,,,Presentation,10679.json
nan,,,,2015.0,['ashleya.g.'],10675,,,Presentation,10675.json
nan,,,,2014.0,['ashleys.'],10682,,,Presentation,10682.json
nan,,,,2012.0,['ashleys.'],10684,,,Presentation,10684.json
nan,,,,2011.0,"['poepselm.', 'ashleys.', 'ferruccip.', 'maksla.']",10687,,,Presentation,10687.json
nan,,,,2013.0,"['vost.', 'ashleys.']",10683,,,Presentation,10683.json
nan,,,,2012.0,['ashleys.'],10686,,,Presentation,10686.json
nan,,,,2015.0,['ashleya.g.'],10676,,,Presentation,10676.json
nan,,,,2012.0,['ashleys.'],10689,,,Poster Presentation,10689.json
nan,,,,2012.0,['ashleys.'],10690,,,Poster Presentation,10690.json
nan,,,,2013.0,"['maksla.', 'ashleys.', 'crafts.']",10688,,,Poster Presentation,10688.json
nan,,,,1999.0,['alml.r.'],1077,37,,Journal Publication,1077.json
nan,,,,2013.0,"['sagalynl.b.', 'ashleya.g.']",10678,,,Presentation,10678.json
nan,,,,2012.0,['ashleys.'],10685,,,Presentation,10685.json
nan,,,,2015.0,"['ashleys.', 'maksla.', 'crafts.']",10680,,,Presentation,10680.json
nan,,,,2011.0,"['ashleys.', 'maksla.', 'crafts.']",10691,,,Poster Presentation,10691.json
nan,,,,2006.0,"['alml.r.', 'burkhartr.e.']",1076,67,,Journal Publication,1076.json
nan,,,,2012.0,"['choib.', 'kom.', 'baeky.']",10820,,,Presentation,10820.json
nan,,,,2012.0,"['choib.', 'huangj.', 'kimy.', 'baeky.']",10819,,,Presentation,10819.json
nan,,,,2012.0,['ballengerb.'],10963,,,Presentation,10963.json
nan,,,,2012.0,['ashleys.'],10692,,,Presentation,10692.json
nan,,,,2015.0,"['chingy.', 'yangd.', 'baeky.']",10822,,,Presentation,10822.json
nan,,,,2013.0,['ballengerb.'],10961,,,Presentation,10961.json
nan,,,,2008.0,['ballengerb.'],1094,19,,Journal Publication,1094.json
nan,,,10.1353/rvt.2011.0005,2011.0,['ballengerb.'],1093,12,,Journal Publication,1093.json
